Day,Demand
1,9351.886648046417
2,9312.971219287752
3,9045.05544739933
4,8541.870327377832
5,8406.42899466404
6,9180.955494921738
7,9218.233580754033
8,9023.272326455473
9,9074.11127435419
10,8455.17305360042
11,8490.239754090731
12,8392.043166972608
13,8557.991910531804
14,9207.280326838947
15,9206.857947802666
16,9169.746004342922
17,9163.522827626226
18,8564.5723011994
19,8386.736649002432
20,9181.107992927391
21,8987.9078869532
22,9247.159455660212
23,8961.39589072137
24,8966.57431406454
25,8323.556241031978
26,8168.991465814675
27,8352.503005319331
28,8967.024820073171
29,9135.794204599928
30,9334.682966565852
